source,target
3,24
3,30
3,33
3,34
3,36
3,38
3,55
3,64
3,70
4,36
5,16
5,24
5,40
13,24
13,30
13,34
13,36
13,38
13,55
13,64
13,70
14,24
14,30
14,33
14,35
14,36
14,38
14,55
14,64
14,70
15,24
15,35
15,36
15,38
15,40
17,31
23,49
23,60
23,61
24,37
24,40
24,41
34,53
35,44
36,43
36,53
36,55
36,60
36,61
36,64
36,65
37,43
37,47
37,49
37,50
37,51
37,52
37,53
37,54
37,55
37,56
37,57
37,58
37,59
37,60
37,61
37,62
37,64
37,65
37,71
38,53
42,63
43,50
43,54
43,58
43,59
43,62
43,63
43,71
44,50
44,51
44,54
44,58
44,59
44,62
44,63
44,70
46,54
48,57
51,58
51,71
52,70
